70,70,70,70,70,70,70,70,70,70
140,140,140,140,140,140,140,140,140,140
0,0,0,0,0,0,0,0,0,0
63,63,63,63,63,63,63,63,63,63
138,157,149,152,145,150,138,144,151,141
4,15,12,10,23,10,6,9,16,8
56,56,56,56,56,56,56,56,56,56
220,182,136,151,187,167,165,165,215,242
90,45,26,22,63,31,23,45,97,93
49,49,49,49,49,49,49,49,49,49
134,175,125,156,134,192,179,300,204,227
22,58,28,46,22,68,66,147,62,82
42,42,42,42,42,42,42,42,42,42
174,169,172,170,185,172,197,257,159,252
54,63,52,51,65,65,72,109,57,129
35,35,35,35,35,35,35,35,35,35
189,273,182,385,124,192,177,184,196,238
89,142,80,220,34,92,91,56,89,147
28,28,28,28,28,28,28,28,28,28
130,204,160,291,280,194,240,210,122,182
68,115,96,137,152,82,114,132,47,94
21,21,21,21,21,21,21,21,21,21
157,151,144,135,132,132,155,105,132,184
98,81,72,72,79,70,91,56,67,94
14,14,14,14,14,14,14,14,14,14
61,66,96,80,64,112,92,98,96,75
29,33,44,52,33,69,54,48,53,52
7,7,7,7,7,7,7,7,7,7
25,23,24,17,20,30,18,26,34,23
14,15,10,8,15,21,9,15,19,15
