80,80,80,80,80,80,80,80,80,80
160,160,160,160,160,160,160,160,160,160
0,0,0,0,0,0,0,0,0,0
72,72,72,72,72,72,72,72,72,72
204,167,164,188,169,161,161,165,175,191
35,8,11,17,18,8,11,14,26,29
64,64,64,64,64,64,64,64,64,64
156,177,175,178,207,211,150,178,182,221
12,35,38,31,31,63,14,24,25,60
56,56,56,56,56,56,56,56,56,56
191,174,278,169,224,302,224,181,166,227
73,53,124,47,64,133,78,42,38,63
48,48,48,48,48,48,48,48,48,48
191,170,272,211,268,158,242,221,415,237
53,59,129,81,128,37,90,86,218,121
40,40,40,40,40,40,40,40,40,40
187,281,219,371,268,269,271,331,281,198
56,151,91,214,122,133,144,161,160,87
32,32,32,32,32,32,32,32,32,32
275,291,308,235,189,326,204,329,227,275
164,204,153,135,114,225,95,242,96,173
24,24,24,24,24,24,24,24,24,24
188,198,205,161,185,191,235,112,199,149
116,124,120,99,102,122,118,54,112,83
16,16,16,16,16,16,16,16,16,16
122,118,79,87,91,96,102,77,138,94
85,58,45,49,45,56,57,28,78,70
8,8,8,8,8,8,8,8,8,8
16,35,25,29,28,21,25,20,16,12
5,17,12,10,21,10,20,9,7,3
