80,80,80,80,80,80,80,80,80,80
120,120,120,120,120,120,120,120,120,120
0,0,0,0,0,0,0,0,0,0
72,72,72,72,72,72,72,72,72,72
136,127,124,118,134,130,124,119,125,112
15,14,8,9,24,17,10,12,6,2
64,64,64,64,64,64,64,64,64,64
113,142,106,108,110,172,143,127,115,132
12,36,7,12,12,67,25,26,11,27
56,56,56,56,56,56,56,56,56,56
130,127,110,133,99,89,125,174,119,135
37,32,14,37,12,12,30,61,24,45
48,48,48,48,48,48,48,48,48,48
123,126,199,179,116,139,99,169,155,141
36,34,90,84,38,56,17,75,71,58
40,40,40,40,40,40,40,40,40,40
114,183,89,100,146,104,136,72,88,86
47,104,31,31,88,34,73,11,28,22
32,32,32,32,32,32,32,32,32,32
101,109,119,133,157,142,175,163,133,214
56,63,72,74,101,83,102,93,68,126
24,24,24,24,24,24,24,24,24,24
98,104,67,91,96,80,50,109,163,114
42,55,22,46,39,32,22,45,116,67
16,16,16,16,16,16,16,16,16,16
55,61,66,70,54,88,47,53,21,60
30,33,28,41,33,46,15,31,11,28
8,8,8,8,8,8,8,8,8,8
12,13,25,23,14,10,18,9,16,13
7,7,15,16,8,7,10,3,13,5
